Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Alcohol/Solvent content (product.metafields.shopify.alcohol-solvent-content),Application method (product.metafields.shopify.application-method),Baby gift items included (product.metafields.shopify.baby-gift-items-included),Body area (product.metafields.shopify.body-area),Brush material (product.metafields.shopify.brush-material),Bug type (product.metafields.shopify.bug-type),Cleaning instructions (product.metafields.shopify.cleaning-instructions),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Conditioner effect (product.metafields.shopify.conditioner-effect),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic finish (product.metafields.shopify.cosmetic-finish),Cosmetic function (product.metafields.shopify.cosmetic-function),Detailed ingredients (product.metafields.shopify.detailed-ingredients),Dispenser type (product.metafields.shopify.dispenser-type),Flavor (product.metafields.shopify.flavor),Fluoride content (product.metafields.shopify.fluoride-content),Fragrance (product.metafields.shopify.fragrance),Fragrance level (product.metafields.shopify.fragrance-level),Gift set format (product.metafields.shopify.gift-set-format),Infant age group (product.metafields.shopify.infant-age-group),Ingredient origin (product.metafields.shopify.ingredient-origin),Ingredients (product.metafields.shopify.ingredients),Laundry detergent features (product.metafields.shopify.laundry-detergent-features),Material (product.metafields.shopify.material),Moisturizer type (product.metafields.shopify.moisturizer-type),Mounting type (product.metafields.shopify.mounting-type),Occasion (product.metafields.shopify.occasion),Oral care function (product.metafields.shopify.oral-care-function),Package type (product.metafields.shopify.package-type),Personalization options (product.metafields.shopify.personalization-options),Product certifications & standards (product.metafields.shopify.product-certifications-standards),Product form (product.metafields.shopify.product-form),Product sterility (product.metafields.shopify.product-sterility),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),SPF level (product.metafields.shopify.spf-level),Stick material (product.metafields.shopify.stick-material),Suitable for bug type (product.metafields.shopify.suitable-for-bug-type),Suitable for hair type (product.metafields.shopify.suitable-for-hair-type),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Suitable space (product.metafields.shopify.suitable-space),Swab end configuration (product.metafields.shopify.swab-end-configuration),Talc content (product.metafields.shopify.talc-content),Target gender (product.metafields.shopify.target-gender),Texture (product.metafields.shopify.texture),Tip material (product.metafields.shopify.tip-material),Tip style (product.metafields.shopify.tip-style),Toothpaste type (product.metafields.shopify.toothpaste-type),Treatment texture (product.metafields.shopify.treatment-texture),Usage type (product.metafields.shopify.usage-type),UVA protection grade (product.metafields.shopify.uva-protection-grade),Washing method (product.metafields.shopify.washing-method),Wipe fragrance (product.metafields.shopify.wipe-fragrance),Wipe packaging (product.metafields.shopify.wipe-packaging),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
enfant-organic-the-complete-baby-kit-10-in-1-ultimate-newborn-care-bundle,Enfant Organic The Complete Baby Kit – 10-in-1 Ultimate Newborn Care Bundle,"<p data-path-to-node=""5""><b data-path-to-node=""5"" data-index-in-node=""35"">The Complete Baby Kit</b> is the gold standard for parents who want a total organic lifestyle for their newborn. This powerhouse collection covers everything from bath time and deep hydration to laundry and bottle hygiene. Each item is formulated with natural extracts to provide a protective, gentle barrier for your little one.</p>
<p data-path-to-node=""6""><b data-path-to-node=""6"" data-index-in-node=""0"">📦 What’s Inside The Complete Baby Kit?</b></p>
<ol start=""1"" data-path-to-node=""7"">
<li>
<p data-path-to-node=""7,0,0""><b data-path-to-node=""7,0,0"" data-index-in-node=""0"">🧼 Shampoo &amp; Body Wash Foam Mousse (400ml):</b> A velvety soft mousse that cleanses gently while leaving a soothing, dreamy scent to help baby relax.</p>
</li>
<li>
<p data-path-to-node=""7,1,0""><b data-path-to-node=""7,1,0"" data-index-in-node=""0"">🧴 Extra Mild Moisture Lotion (250ml):</b> Infused with Ceramide 3 and Organic Argan Oil to keep skin soft, healthy, and hydrated for 24 hours.</p>
</li>
<li>
<p data-path-to-node=""7,2,0""><b data-path-to-node=""7,2,0"" data-index-in-node=""0"">🧴 Double Moisture Lotion (250ml):</b> Provides intensive, long-lasting hydration with a dual-action formula specifically for extra-dry or sensitive areas.</p>
</li>
<li>
<p data-path-to-node=""7,3,0""><b data-path-to-node=""7,3,0"" data-index-in-node=""0"">🧴 Complete Care Moisture Cream (100ml):</b> A concentrated, fragrance-free cream designed to soothe skin irritation and maintain a healthy moisture barrier.</p>
</li>
<li>
<p data-path-to-node=""7,4,0""><b data-path-to-node=""7,4,0"" data-index-in-node=""0"">🍃 Nourishing Baby Oil (100ml):</b> A pure, natural oil perfect for a soothing after-bath massage to lock in moisture and improve skin elasticity.</p>
</li>
<li>
<p data-path-to-node=""7,5,0""><b data-path-to-node=""7,5,0"" data-index-in-node=""0"">🍯 Shea Butter Nurturing Balm (30 grams):</b> A rich, protective balm that uses organic shea butter to soothe dry patches and protect delicate skin areas.</p>
</li>
<li>
<p data-path-to-node=""7,6,0""><b data-path-to-node=""7,6,0"" data-index-in-node=""0"">☁️ Natural Baby Powder (200 grams):</b> A 100% talc-free, cornstarch-based powder that safely absorbs moisture to keep skin fresh and friction-free.</p>
</li>
<li>
<p data-path-to-node=""7,7,0""><b data-path-to-node=""7,7,0"" data-index-in-node=""0"">🧼 Extra Mild Face &amp; Body Wipes (3 Pack/ 60 Sheets):</b> Thick, soft wipes made with 99.9% purified water and Organic Jojoba for gentle cleaning on the go.</p>
</li>
<li>
<p data-path-to-node=""7,8,0""><b data-path-to-node=""7,8,0"" data-index-in-node=""0"">🍼 Nipple &amp; Bottle Liquid Cleanser (700ml):</b> Formulated with Organic Tea Tree Oil to safely remove milk stains and bacteria from feeding accessories.</p>
</li>
<li>
<p data-path-to-node=""7,9,0""><b data-path-to-node=""7,9,0"" data-index-in-node=""0"">🧺 Baby Fabric Wash with Softener (1000ml):</b> A pH-balanced, 4-in-1 formula that removes stubborn stains and leaves clothes soft without harsh chemicals.</p>
</li>
</ol>
<p data-path-to-node=""8""><b data-path-to-node=""8"" data-index-in-node=""0"">✨ Why Choose This Kit?</b></p>
<ul data-path-to-node=""9"">
<li>
<p data-path-to-node=""9,0,0""><b data-path-to-node=""9,0,0"" data-index-in-node=""0"">✅ Total Care:</b> No need for separate shopping; this kit provides a complete organic regimen from day one.</p>
</li>
<li>
<p data-path-to-node=""9,1,0""><b data-path-to-node=""9,1,0"" data-index-in-node=""0"">🚫 Clean Formula:</b> Every product is <b data-path-to-node=""9,1,0"" data-index-in-node=""35"">Dermatologically Tested</b> and free from Parabens, Dyes, and Alcohol.</p>
</li>
<li>
<p data-path-to-node=""9,2,0""><b data-path-to-node=""9,2,0"" data-index-in-node=""0"">🌱 Organic Excellence:</b> Enriched with certified organic oils (Argan, Tea Tree, Jojoba) for natural, plant-based protection.</p>
</li>
</ul>
<p> </p>
<p data-path-to-node=""10""><b data-path-to-node=""10"" data-index-in-node=""0"">💖 Ultimate Peace of Mind</b> With The Complete Baby Kit, you are choosing a lifestyle of purity. Whether you’re setting up your own nursery or looking for the most comprehensive starter set for a new arrival, this collection delivers premium organic care in every drop.</p>",Enfant Organics,Baby & Toddler > Baby Gift Sets,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,92,deny,manual,48.600,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0958/9974/6598/files/The-Complete-Baby-Kit.jpg_2.jpg?v=1772896863,1,"",false,,,5859,,,,,,,,,,,,,,,,,,,,clothing,,,,,,multicolor,,,,,,,,,,,gift-box,newborn; 0-6-months,,,,cotton; fabric,,,,,,none,,,,,,,,,,,,,,,,unisex,,,,,,,,,,,,kg,,10.570,active
enfant-organic-the-complete-baby-kit-10-in-1-ultimate-newborn-care-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0958/9974/6598/files/The-Complete-Baby-Kit_jpg.jpg?v=1772909400,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enfant-organic-the-complete-baby-kit-10-in-1-ultimate-newborn-care-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0958/9974/6598/files/10_f04a5bd8-3859-430b-8247-97117dc56887.jpg?v=1772909733,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enfant-organic-the-complete-baby-kit-10-in-1-ultimate-newborn-care-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0958/9974/6598/files/8_29e48aab-ba18-41b8-b114-51f694aa3105.jpg?v=1772198125,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enfant-organic-the-complete-baby-kit-10-in-1-ultimate-newborn-care-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0958/9974/6598/files/3_41a4e23a-aec6-44ac-868c-6ae82ff0aa96.jpg?v=1772116002,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enfant-organic-the-complete-baby-kit-10-in-1-ultimate-newborn-care-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0958/9974/6598/files/Artboard1_67b0fe88-0bfe-426e-9c4f-9ed0efff4c7e.png?v=1772111978,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enfant-organic-the-complete-baby-kit-10-in-1-ultimate-newborn-care-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0958/9974/6598/files/Artboard1.png?v=1772110821,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enfant-organic-the-complete-baby-kit-10-in-1-ultimate-newborn-care-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0958/9974/6598/files/Artboard_1_0756600d-e724-4161-a19e-2b39cef99fb7.png?v=1772909733,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enfant-organic-the-complete-baby-kit-10-in-1-ultimate-newborn-care-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0958/9974/6598/files/Artboard_1_a2a9c41e-a629-439c-bacd-e9b381bfcd30.png?v=1772909733,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enfant-organic-the-complete-baby-kit-10-in-1-ultimate-newborn-care-bundle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0958/9974/6598/files/Artboard_1_2e384959-e334-451e-83b2-eab292ea4f97.png?v=1772909733,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
